Photo,Plot,Lon,Lat,LAI2,Notes,LAI
exp2,1,-0.8512892,51.1535147,3.33,,2.4
,5,-0.8516345,51.1534282,3.481,,2.693
,10,-0.852066,51.1533245,3.373,,2.651
,15,-0.8524976,51.1532208,2.828,,2.305
,23,-0.8531882,51.1530477,3.09,,2.47
,28,-0.853538,51.1527814,3.73,,2.85
,33,-0.8538877,51.1525151,3.404,OKAY FROM HERE,2.946
,38,-0.8542372,51.1522577,2.831,,2.447
,43,-0.854587,51.1519914,3.61,,3.626
,48,-0.8550141,51.1520675,2.971,,2.961
,53,-0.8554411,51.1521436,3.307,,
,59,-0.8559678,51.1522387,3.258,,
,63,-0.8563093,51.152305,3.518,,
,68,-0.8563871,51.1526294,4.51,,
,73,-0.8568302,51.1526338,2.862,,
,79,-0.8573591,51.1526389,2.966,,
,84,-0.8578023,51.1526433,3.69,,
,88,-0.8581597,51.1526468,2.735,,
,93,-0.8586024,51.1526691,2.619,,
,98,-0.8590453,51.1526824,2.865,,
,103,-0.859488,51.1527047,3.014,,
,108,-0.8599307,51.152727,3.234,,
,113,-0.8598835,51.1523219,2.434,,
,116,-0.8598608,51.1520788,3.09,,
,121,-0.8596122,51.1517257,2.855,,
,124,-0.8594746,51.1515086,2.802,,
,129,-0.8599188,51.1514679,3.435,,
,134,-0.860349,51.1514182,3.358,,
,139,-0.8607932,51.1513775,2.595,,
,144,-0.8612377,51.1513279,2.668,,
,149,-0.8616676,51.1512871,2.736,,
,154,-0.8621118,51.1512465,3.402,,
,159,-0.8625563,51.1511968,3.225,,
,162,-0.8628142,51.1511724,2.439,,
,167,-0.8632574,51.1511767,2.82,,
,172,-0.8637003,51.15119,2.91,,
,177,-0.8641434,51.1511943,2.626,,
,185,-0.8648579,51.1512102,2.407,,
,186,-0.8534847,51.1549301,3.04,,
,191,-0.8538883,51.1547991,2.131,,
,196,-0.8542919,51.1546682,1.885,,
,201,-0.8547085,51.1545913,2.257,,
,207,-0.8552379,51.1545785,2.542,,
,212,-0.8556813,51.1545739,2.093,,
,217,-0.8561247,51.1545692,2.034,,
,222,-0.856568,51.1545646,2.087,,
,227,-0.8570116,51.1545509,2.417,,
,232,-0.8574289,51.1544471,2.492,,
,236,-0.8577612,51.1543065,2.892,,
,241,-0.8581659,51.1541306,3.272,,
,246,-0.8585706,51.1539547,2.905,,
,252,-0.8590622,51.1537346,1.958,,
,256,-0.8593803,51.1535939,1.883,,
,261,-0.8597993,51.1534181,2.191,,
,266,-0.8602039,51.1532422,2.185,,
,271,-0.8606086,51.1530663,3.703,,
,276,-0.8610131,51.1528994,3.081,,
,281,-0.8614316,51.1527416,3.953,,
,286,-0.8618502,51.1525838,2.871,,
,291,-0.8622544,51.1524259,2.948,,
,296,-0.8626729,51.1522681,2.528,,
,301,-0.8630915,51.1521103,4.083,,
,306,-0.8634607,51.1522128,2.639,,
,311,-0.8637971,51.1524858,2.693,,
,316,-0.8641334,51.1527679,3.017,,
,324,-0.8646803,51.1532048,3.096,,
,325,-0.8562172,51.1566114,2.796,,
,330,-0.8566087,51.1563904,2.681,,
,336,-0.8570871,51.1561253,3.04,,
,339,-0.8573192,51.1559927,3.871,,
,345,-0.8578233,51.1558448,5.764,,
,349,-0.8581689,51.1557492,4.164,,
,354,-0.8585868,51.1556184,2.796,,
,359,-0.8590045,51.1554966,3.493,,
,363,-0.85935,51.155401,3.585,,
,368,-0.8597272,51.1551799,3.534,,
,373,-0.8601042,51.1549678,3.858,,
,378,-0.8604958,51.1547468,4.744,,
,384,-0.8609453,51.1544904,5.333,,
,389,-0.8613707,51.1546384,3.979,,
,394,-0.8617819,51.1547773,3.392,,
,400,-0.8622924,51.1549531,4.065,,
,404,-0.8626326,51.1550733,3.967,,
,409,-0.8626859,51.1546512,3.819,,
,414,-0.8627391,51.1542291,3.98,,
,420,-0.8628087,51.1537262,2.4,,
,425,-0.8632195,51.153883,3.715,,
,430,-0.8636303,51.1540399,3.946,,
,435,-0.8640411,51.1541967,4.024,,
