      Date     Time,     Area,   Length,    Width,    Perim,   Factor,    Ratio, Void
11/30/2015 07:18:04,52.39,11.57,7.7,33.95,1.5,0.57,5
11/30/2015 07:20:30,42.57,8.8,7.35,28.66,1.2,0.65,7
11/30/2015 07:22:05,58.27,8.89,9.45,34.16,0.94,0.63,9
11/30/2015 07:22:38,133.77,27.39,10.02,74.81,2.73,0.3,20
11/30/2015 07:23:01,27.3,14.17,4.64,35.18,3.05,0.28,4
11/30/2015 07:23:28,70.15,13.07,10.09,47.88,1.29,0.38,22
11/30/2015 07:24:25,33.97,11.55,6.33,31.33,1.82,0.44,2
11/30/2015 07:24:43,33.84,15.83,5.34,40.16,2.96,0.26,5
11/30/2015 07:24:53,35.65,9.55,6.41,29.9,1.49,0.5,7
11/30/2015 07:25:13,36.73,15.11,5.7,51.51,2.65,0.17,15
11/30/2015 07:25:26,59.01,29.39,6.79,75.6,4.33,0.13,5
11/30/2015 07:25:35,32.77,14.17,5.25,38.42,2.7,0.28,8
11/30/2015 07:25:39,41.19,13.75,5.08,49.3,2.71,0.21,23
11/30/2015 07:25:42,43.59,13.22,6.56,37.59,2.01,0.39,6
11/30/2015 07:25:47,80.56,15.34,8.56,45.1,1.79,0.5,7
11/30/2015 07:26:07,44.07,15.44,5.68,49.6,2.72,0.23,10
11/30/2015 07:26:22,84.98,21.73,10.01,64.75,2.17,0.25,14
11/30/2015 07:26:36,13.05,7.66,2.86,19.03,2.68,0.45,1
11/30/2015 07:26:43,26.52,10.47,4.21,30.58,2.49,0.36,2
11/30/2015 07:26:58,34.83,15.58,6.26,50.03,2.49,0.17,7
11/30/2015 07:27:07,34.34,11.09,5.98,30.25,1.85,0.47,4
11/30/2015 07:27:16,19.69,13.71,4.27,33.61,3.21,0.22,4
11/30/2015 07:27:26,39.21,13.35,5.54,39.03,2.41,0.32,7
11/30/2015 07:27:34,36.94,11.35,6.74,33.47,1.68,0.41,3
11/30/2015 07:27:48,31.7,12.61,4.83,32.12,2.61,0.39,4
11/30/2015 07:27:59,52.72,16.83,7.5,49.05,2.24,0.28,8
11/30/2015 07:28:06,21.73,8.83,4.84,24.54,1.82,0.45,3
11/30/2015 07:28:15,50.66,14.51,5.86,50.83,2.48,0.25,17
11/30/2015 07:28:25,57.64,15.76,8.33,45.36,1.89,0.35,8
11/30/2015 07:28:33,54.95,13.69,8.18,41.3,1.67,0.4,8
11/30/2015 07:28:41,22.61,10.76,4.57,28.22,2.36,0.36,2
11/30/2015 07:28:53,64.73,14.64,9.03,44.69,1.62,0.41,7
11/30/2015 07:29:00,48.61,10.38,8.16,32.43,1.27,0.58,6
11/30/2015 07:29:09,60.64,16.18,8.1,45.4,2,0.37,7
11/30/2015 07:29:16,23.42,11.9,4.65,30.11,2.56,0.32,2
11/30/2015 07:29:23,34.47,14.65,5.64,37.75,2.6,0.3,2
11/30/2015 07:29:31,52.15,16.44,7.76,46.78,2.12,0.3,7
11/30/2015 07:29:39,52.67,10.73,8.42,37.02,1.27,0.48,8
11/30/2015 07:29:46,17.21,5.99,4.34,18.9,1.38,0.61,2
11/30/2015 07:29:54,53.72,15.11,7.92,43.31,1.91,0.36,9
11/30/2015 07:30:02,28.5,9.17,5.66,26.15,1.62,0.52,4
11/30/2015 07:30:10,50.85,11.72,7.92,34.76,1.48,0.53,5
11/30/2015 07:30:17,22.57,8.34,5.07,26.07,1.65,0.42,5
11/30/2015 07:30:27,72.63,12.77,9.47,40.53,1.35,0.56,6
11/30/2015 07:30:34,19.48,7.11,4.6,20.79,1.55,0.57,3
11/30/2015 07:30:42,23.87,11.93,5.03,31.3,2.37,0.31,3
11/30/2015 07:30:49,27.83,8.71,5.94,26.9,1.46,0.48,8
11/30/2015 07:30:58,55.18,13.16,7.77,37.6,1.69,0.49,4
11/30/2015 07:31:12,62.9,14.08,8.76,42.15,1.61,0.44,8
11/30/2015 07:31:19,39.7,10.32,7.16,32.24,1.44,0.48,7
11/30/2015 07:31:28,28.67,10.9,5.67,30.34,1.92,0.39,5
11/30/2015 07:31:36,61.57,11.57,8.76,37.89,1.32,0.54,9
