      Date     Time,     Area,   Length,    Width,    Perim,   Factor,    Ratio, Void
11/30/2015 07:53:46,20.29,9.36,3.75,28.14,2.49,0.32,7
11/30/2015 07:53:54,33.54,13.4,4.34,34.44,3.09,0.36,4
11/30/2015 07:54:02,24.28,8.59,5,29.43,1.72,0.35,8
11/30/2015 07:54:11,23.7,13.25,3.92,31.53,3.38,0.3,4
11/30/2015 07:54:19,48.68,15.88,5.2,38.19,3.06,0.42,5
11/30/2015 07:54:27,60.71,15.58,7.9,51.22,1.97,0.29,10
11/30/2015 07:54:35,21.94,12.45,3.07,32.07,4.05,0.27,3
11/30/2015 07:54:42,35.27,12.3,5.6,34.52,2.2,0.37,7
11/30/2015 07:54:50,34.21,11.86,5.3,36.6,2.24,0.32,6
11/30/2015 07:54:53,0,0.04,0.03,0.11,1.2,0.73,0
11/30/2015 07:55:21,15.93,7.25,3.72,20.26,1.95,0.49,3
11/30/2015 07:55:23,0.01,0.13,0.13,0.41,0.93,0.9,0
11/30/2015 07:55:55,23.35,8.27,4.85,26.57,1.7,0.42,11
11/30/2015 07:55:58,0.01,0.16,0.15,0.47,1.05,0.82,0
11/30/2015 07:56:20,14.06,7.59,3.21,20.66,2.36,0.41,3
11/30/2015 07:56:22,0.01,0.11,0.22,0.49,0.49,0.72,0
11/30/2015 07:56:47,87.1,17.28,9.18,59.87,1.88,0.31,15
11/30/2015 07:56:49,0.01,0.16,0.07,0.42,2.26,0.44,0
11/30/2015 07:57:07,48.8,12.75,6.11,37.19,2.09,0.44,9
11/30/2015 07:57:19,86.32,17.1,9.56,57.39,1.79,0.33,9
11/30/2015 07:57:28,92.61,15.5,9.32,50.1,1.66,0.46,9
11/30/2015 07:57:31,0,0.04,0.09,0.22,0.49,0.62,0
11/30/2015 07:58:35,59.84,13.83,7.4,49.3,1.87,0.31,11
11/30/2015 07:58:38,0.02,0.08,0.37,0.77,0.22,0.37,0
11/30/2015 07:58:46,77.85,14.3,10.44,56.68,1.37,0.3,9
11/30/2015 07:58:48,0.02,0.11,0.31,0.73,0.34,0.39,0
11/30/2015 07:58:51,0.02,0.13,0.31,0.74,0.43,0.4,0
11/30/2015 07:59:19,38.5,9.67,6.8,33.69,1.42,0.43,7
11/30/2015 07:59:21,0,0.04,0.03,0.13,1.27,0.84,0
11/30/2015 07:59:24,0,0.06,0.05,0.18,1.4,0.73,0
11/30/2015 07:59:44,19.36,7.78,4.17,24.62,1.87,0.4,5
11/30/2015 07:59:54,50.93,14.16,7.5,55.78,1.89,0.21,14
11/30/2015 08:00:04,37.51,11.07,5.89,36.71,1.88,0.35,9
11/30/2015 08:00:07,0.01,0.13,0.08,0.33,1.76,0.81,0
11/30/2015 08:00:18,51.06,12.2,7.15,42.27,1.71,0.36,12
11/30/2015 08:00:21,0,0.04,0.16,0.34,0.28,0.39,0
11/30/2015 08:00:23,0.03,0.3,0.18,0.79,1.69,0.53,0
11/30/2015 08:00:56,67.45,13.81,7.65,46.28,1.81,0.4,12
11/30/2015 08:00:58,0.04,0.34,0.21,0.84,1.66,0.74,0
11/30/2015 08:01:01,0.04,0.32,0.21,0.8,1.49,0.85,0
11/30/2015 08:01:22,13.24,4.99,4.2,16.93,1.19,0.58,4
11/30/2015 08:01:26,0.05,0.33,0.23,0.91,1.45,0.74,0
11/30/2015 08:02:17,21.91,7.93,4.11,25.9,1.93,0.41,7
11/30/2015 08:02:26,11.64,6.09,2.88,15.29,2.12,0.63,0
11/30/2015 08:02:33,16.1,7.59,3.17,18.79,2.4,0.57,0
11/30/2015 08:02:41,25.43,8.87,5.13,26.3,1.73,0.46,4
11/30/2015 08:02:49,13.49,7.02,3.48,18.39,2.02,0.5,3
11/30/2015 08:02:58,6.68,4.06,3.03,12.79,1.34,0.51,5
11/30/2015 08:03:05,12.65,9.75,2.56,26.55,3.8,0.23,9
11/30/2015 08:03:12,21.96,8.96,4.07,24.13,2.2,0.47,4
11/30/2015 08:03:20,50.13,12.77,7.22,39.12,1.77,0.41,9
11/30/2015 08:03:23,0,0.04,0.03,0.13,1.26,0.71,0
11/30/2015 08:03:31,44.03,11.69,7.13,36.63,1.64,0.41,9
11/30/2015 08:03:39,49.15,12.46,6.53,42.82,1.91,0.34,9
11/30/2015 08:03:42,0,0.1,0.05,0.25,2.07,0.68,0
11/30/2015 08:03:50,55.22,11.44,7.55,33.12,1.52,0.63,2
11/30/2015 08:03:52,0,0.04,0.03,0.13,1.28,0.79,0
11/30/2015 08:04:00,22.53,8.55,4.77,28.85,1.79,0.34,5
11/30/2015 08:04:09,81.37,14.9,9.12,57.12,1.63,0.31,21
11/30/2015 08:04:12,0,0.06,0.04,0.18,1.45,0.76,0
11/30/2015 08:04:15,0,0.04,0.04,0.15,1.03,0.8,0
11/30/2015 08:04:22,20.75,9.31,3.57,30.29,2.61,0.28,11
11/30/2015 08:04:25,0,0.07,0.04,0.2,1.66,0.75,0
11/30/2015 08:04:28,0,0.09,0.05,0.23,1.97,0.73,0
11/30/2015 08:04:30,0,0.09,0.05,0.23,1.88,0.7,0
11/30/2015 08:04:33,0,0.08,0.05,0.21,1.66,0.83,0
11/30/2015 08:05:24,43.64,12.04,4.9,38.79,2.46,0.36,6
11/30/2015 08:05:45,20.65,8.58,4.9,26.59,1.75,0.37,7
11/30/2015 08:05:52,30.15,9.05,5.48,29,1.65,0.45,8
11/30/2015 08:06:02,33.42,10.06,5.43,30.39,1.85,0.45,8
11/30/2015 08:06:10,28.4,9.43,5.07,29.22,1.86,0.42,6
11/30/2015 08:06:13,0,0.05,0.13,0.27,0.41,0.72,0
11/30/2015 08:06:20,47.14,11,7.2,37.98,1.53,0.41,11
11/30/2015 08:06:28,8.61,5.61,2.98,16.21,1.88,0.41,3
11/30/2015 08:06:35,14.61,7.1,3.57,18.69,1.99,0.53,2
11/30/2015 08:06:43,173.96,30.68,8.32,114.55,3.69,0.17,19
11/30/2015 08:06:54,0.01,0.15,0.09,0.4,1.6,0.66,0
11/30/2015 08:06:58,76.03,15.26,8.18,61.85,1.87,0.25,19
11/30/2015 08:07:01,0.02,0.22,0.11,0.53,2,0.67,0
11/30/2015 08:07:03,0.01,0.15,0.11,0.48,1.28,0.54,0
11/30/2015 08:07:06,0.01,0.14,0.12,0.43,1.22,0.8,0
11/30/2015 08:07:09,0.01,0.15,0.11,0.48,1.35,0.64,0
11/30/2015 08:07:18,27.51,11.78,4.93,32.22,2.39,0.33,4
11/30/2015 08:07:21,0.01,0.17,0.12,0.5,1.38,0.63,0
11/30/2015 08:07:29,60.54,13.37,7.53,48.04,1.77,0.33,13
11/30/2015 08:07:31,0.01,0.19,0.11,0.56,1.72,0.44,0
