      Date     Time,     Area,   Length,    Width,    Perim,   Factor,    Ratio Void,          Lat
12/08/2015 04:13,46.3,13.47,7.66,40.73,1.76,0.35,15
12/08/2015 04:13,55.56,11,7.96,33.27,1.38,0.63,5
12/08/2015 04:13,68.24,16.07,8.53,53.62,1.88,0.3,16
12/08/2015 04:13,0.02,0.26,0.09,0.59,2.88,0.62,0
12/08/2015 04:13,0.03,0.35,0.12,0.83,2.92,0.51,0
12/08/2015 04:13,0.03,0.3,0.13,0.73,2.32,0.63,0
12/08/2015 04:14,24.86,8.38,5.33,25.42,1.57,0.48,4
12/08/2015 04:14,0.01,0.22,0.09,0.54,2.45,0.64,0
12/08/2015 04:14,36.81,8.77,6.62,28.33,1.33,0.58,5
12/08/2015 04:15,34.27,9.56,6.38,28.68,1.5,0.52,5
12/08/2015 04:15,43.29,11.12,6.89,31.05,1.62,0.56,2
12/08/2015 04:15,22.58,6.86,5.64,22.62,1.22,0.55,4
12/08/2015 04:15,24.18,7.27,4.93,21.15,1.48,0.68,2
12/08/2015 04:15,30.92,7.8,6.37,24.72,1.22,0.64,3
12/08/2015 04:16,33.97,8.82,6.3,26.67,1.4,0.6,3
12/08/2015 04:16,29.78,6.95,6.41,24.07,1.08,0.65,5
12/08/2015 04:16,0.01,0.14,0.07,0.35,1.94,0.6,0
12/08/2015 04:16,0,0.04,0.08,0.19,0.59,0.56,0
12/08/2015 04:16,37.34,10.03,6.32,30.03,1.59,0.52,4
12/08/2015 04:16,45.59,9.55,7.72,33.4,1.24,0.51,10
12/08/2015 04:16,50.03,14.34,7.29,43.15,1.97,0.34,6
12/08/2015 04:17,32,9.42,5.73,27.49,1.65,0.53,5
12/08/2015 04:17,60.09,10.38,8.55,34.9,1.21,0.62,8
12/08/2015 04:17,0,0.07,0.11,0.26,0.65,0.75,0
12/08/2015 04:17,0.01,0.15,0.08,0.39,1.89,0.6,0
12/08/2015 04:17,0.01,0.18,0.09,0.45,1.9,0.67,0
12/08/2015 04:17,59.6,12.29,8.18,37.85,1.5,0.52,6
12/08/2015 04:17,0.01,0.18,0.11,0.5,1.62,0.66,0
12/08/2015 04:18,25.06,7.42,5.81,22.95,1.28,0.6,6
12/08/2015 04:18,0,0.07,0.07,0.21,1.06,0.83,0
12/08/2015 04:18,35.12,11.9,6.46,35.14,1.84,0.36,7
12/08/2015 04:18,0,0.06,0.03,0.17,1.96,0.72,0
12/08/2015 04:18,51.88,10.8,7.95,34.45,1.36,0.55,7
12/08/2015 04:18,0.01,0.21,0.05,0.47,3.95,0.4,0
12/08/2015 04:19,1.02,4.85,0.66,11.7,7.36,0.09,0
12/08/2015 04:21,0.79,5.02,0.72,11.41,6.97,0.08,0
12/08/2015 04:21,42.86,10.92,6.87,33.92,1.59,0.47,6
12/08/2015 04:22,0.01,0.11,0.18,0.5,0.64,0.4,0
12/08/2015 04:22,0.02,0.25,0.14,0.99,1.8,0.22,0
12/08/2015 04:22,52.33,9.46,8.12,31.29,1.17,0.67,5
12/08/2015 04:22,0,0.04,0.05,0.14,0.96,0.73,0
12/08/2015 04:22,33.28,12.6,5.91,33.26,2.13,0.38,2
12/08/2015 04:23,34.81,8.29,6.76,26.28,1.23,0.63,1
12/08/2015 04:23,57.74,11.67,8.19,37.04,1.43,0.53,10
12/08/2015 04:23,0,0.04,0.06,0.16,0.75,0.84,0
12/08/2015 04:23,22.66,7.5,5.25,22,1.43,0.59,3
12/08/2015 04:23,0.01,0.11,0.1,0.33,1.14,0.82,0
12/08/2015 04:23,52.33,10.87,7.48,32.67,1.45,0.62,2
12/08/2015 04:24,33.5,12.52,5.88,35.22,2.13,0.34,5
12/08/2015 04:24,0,0.04,0.04,0.13,1.08,0.85,0
12/08/2015 04:24,40.65,12.44,6.47,34.87,1.92,0.42,3
12/08/2015 04:24,40.38,14.66,6.44,39.64,2.28,0.32,5
12/08/2015 04:24,0.03,0.18,0.26,0.79,0.69,0.51,0
12/08/2015 04:24,0.01,0.11,0.11,0.37,1.03,0.56,0
12/08/2015 04:24,49.26,9.69,7.65,30.54,1.27,0.66,3
12/08/2015 04:25,55.49,19.23,7.82,52.93,2.46,0.25,12
12/08/2015 04:25,0,0.07,0.03,0.17,2.14,0.71,0
12/08/2015 04:25,0.01,0.27,0.06,0.61,4.25,0.38,0
12/08/2015 04:25,0.01,0.18,0.08,0.44,2.16,0.51,0
12/08/2015 04:25,39.98,12.24,6.7,34.17,1.83,0.43,2
12/08/2015 04:25,0,0.04,0.04,0.14,1.11,0.77,0
12/08/2015 04:25,33.13,8.43,6.13,28.27,1.38,0.52,7
12/08/2015 04:25,0.02,0.22,0.21,0.73,1.06,0.52,0
12/08/2015 04:26,45.55,9.89,7.3,31.4,1.35,0.58,6
12/08/2015 04:26,35.81,13.26,6.39,36.06,2.08,0.35,2
12/08/2015 04:26,0.02,0.26,0.12,0.65,2.19,0.64,0
