Plot,Classification
1,2007 thinned
2,2007 thinned
3,2007 thinned
4,2007 thinned
5,2007 thinned
6,2007 thinned
7,2007 thinned
8,2007 thinned
9,2007 thinned
10,2007 thinned
11,2007 thinned
12,2007 thinned
13,2007 thinned
14,2007 thinned
15,2007 thinned
16,2007 thinned
17,2007 thinned
18,2007 thinned
19,2007 thinned
20,2007 thinned
21,2007 thinned
22,2007 thinned
23,2007 thinned
24,2007 thinned
25,2007 thinned
26,2007 thinned
27,2007 thinned
28,2007 thinned
29,2007 thinned
30,2007 thinned
31,2007 thinned
32,2007 thinned
33,2007 thinned
34,2007 thinned
35,2007 thinned
36,2007 thinned
37,2007 thinned
38,2007 thinned
39,2007 thinned
40,2007 thinned
41,2007 thinned
42,2007 thinned
43,2007 thinned
44,2007 thinned
45,2007 thinned
46,2007 thinned
47,2007 thinned
48,2007 thinned
49,2007 thinned
50,2007 thinned
51,2007 thinned
52,2007 thinned
53,2007 thinned
54,2007 thinned
55,2007 thinned
56,2007 thinned
57,2007 thinned
58,2007 thinned
59,2007 thinned
60,2007 thinned
61,2007 thinned
62,2007 thinned
63,2007 thinned
64,2007 thinned
65,2007 thinned
66,2007 thinned
67,2007 thinned
68,2007 thinned
69,2007 thinned
70,2007 thinned
71,2007 thinned
72,2007 thinned
73,2007 thinned
74,2007 thinned
75,2007 thinned
76,2007 thinned
77,2007 thinned
78,2007 thinned
79,2007 thinned
80,2007 thinned
81,2007 thinned
82,2007 thinned
83,2007 thinned
84,2007 thinned
85,2007 thinned
86,2007 thinned
87,2007 thinned
88,2014 thinned
89,2014 thinned
90,2014 thinned
91,2014 thinned
92,2014 thinned
93,2014 thinned
94,2014 thinned
95,2014 thinned
96,2014 thinned
97,2014 thinned
98,2014 thinned
99,2014 thinned
100,2014 thinned
101,2014 thinned
102,2014 thinned
103,2014 thinned
104,2014 thinned
105,2014 thinned
106,2014 thinned
107,2014 thinned
108,2014 thinned
109,2014 thinned
110,2014 thinned
111,2014 thinned
112,2014 thinned
113,2014 thinned
114,2014 thinned
115,2014 thinned
116,2014 thinned
117,2014 thinned
118,2014 thinned
119,2014 thinned
120,2014 thinned
