Name, Longitude, Latitude, M_plot
001,-0.8512892,51.1535147,1
002,-0.8513754,51.1534976,0
003,-0.8514619,51.1534714,0
004,-0.8515481,51.1534543,0
005,-0.8516345,51.1534282,0
006,-0.8517207,51.1534110,0
007,-0.8518072,51.1533849,0
008,-0.8518934,51.1533678,0
009,-0.8519798,51.1533416,0
010,-0.8520660,51.1533245,0
011,-0.8521525,51.1532984,0
012,-0.8522387,51.1532812,0
013,-0.8523249,51.1532641,0
014,-0.8524114,51.1532380,0
015,-0.8524976,51.1532208,0
016,-0.8525840,51.1531947,0
017,-0.8526702,51.1531775,0
018,-0.8527567,51.1531514,0
019,-0.8528429,51.1531343,0
020,-0.8529293,51.1531082,0
021,-0.8530155,51.1530910,0
022,-0.8531020,51.1530649,0
023,-0.8531882,51.1530477,1
024,-0.8532610,51.1529945,0
025,-0.8533338,51.1529413,0
026,-0.8533923,51.1528879,0
027,-0.8534651,51.1528346,0
028,-0.8535380,51.1527814,0
029,-0.8536108,51.1527282,0
030,-0.8536836,51.1526749,0
031,-0.8537421,51.1526215,0
032,-0.8538149,51.1525683,0
033,-0.8538877,51.1525151,0
034,-0.8539603,51.1524708,0
035,-0.8540331,51.1524176,0
036,-0.8540916,51.1523642,0
037,-0.8541644,51.1523109,0
038,-0.8542372,51.1522577,0
039,-0.8543101,51.1522045,0
040,-0.8543829,51.1521512,0
041,-0.8544414,51.1520978,0
042,-0.8545142,51.1520446,0
043,-0.8545870,51.1519914,1
044,-0.8546723,51.1520102,0
045,-0.8547579,51.1520200,0
046,-0.8548432,51.1520388,0
047,-0.8549285,51.1520576,0
048,-0.8550141,51.1520675,0
049,-0.8550994,51.1520863,0
050,-0.8551847,51.1521051,0
051,-0.8552702,51.1521149,0
052,-0.8553556,51.1521338,0
053,-0.8554411,51.1521436,0
054,-0.8555407,51.1521625,0
055,-0.8556261,51.1521814,0
056,-0.8557116,51.1521912,0
057,-0.8557969,51.1522100,0
058,-0.8558823,51.1522288,0
059,-0.8559678,51.1522387,0
060,-0.8560531,51.1522575,0
061,-0.8561384,51.1522763,0
062,-0.8562240,51.1522861,0
063,-0.8563093,51.1523050,1
064,-0.8563073,51.1523859,0
065,-0.8563053,51.1524668,0
066,-0.8563033,51.1525477,0
067,-0.8563013,51.1526286,0
068,-0.8563871,51.1526294,0
069,-0.8564729,51.1526303,0
070,-0.8565729,51.1526313,0
071,-0.8566587,51.1526321,0
072,-0.8567445,51.1526329,0
073,-0.8568302,51.1526338,0
074,-0.8569160,51.1526346,0
075,-0.8570161,51.1526356,0
076,-0.8571018,51.1526364,0
077,-0.8571876,51.1526373,0
078,-0.8572734,51.1526381,0
079,-0.8573591,51.1526389,0
080,-0.8574449,51.1526398,0
081,-0.8575450,51.1526408,0
082,-0.8576307,51.1526416,0
083,-0.8577165,51.1526424,0
084,-0.8578023,51.1526433,0
085,-0.8578880,51.1526441,0
086,-0.8579881,51.1526451,0
087,-0.8580739,51.1526459,0
088,-0.8581597,51.1526468,1
089,-0.8582454,51.1526476,0
090,-0.8583310,51.1526574,0
091,-0.8584310,51.1526584,0
092,-0.8585168,51.1526592,0
093,-0.8586024,51.1526691,0
094,-0.8586881,51.1526699,0
095,-0.8587739,51.1526707,0
096,-0.8588737,51.1526807,0
097,-0.8589595,51.1526815,0
098,-0.8590453,51.1526824,0
099,-0.8591308,51.1526922,0
100,-0.8592166,51.1526930,0
101,-0.8593164,51.1527030,0
102,-0.8594022,51.1527038,0
103,-0.8594880,51.1527047,0
104,-0.8595735,51.1527145,0
105,-0.8596593,51.1527153,0
106,-0.8597594,51.1527163,0
107,-0.8598449,51.1527261,0
108,-0.8599307,51.1527270,1
109,-0.8599184,51.1526459,0
110,-0.8599061,51.1525649,0
111,-0.8599081,51.1524840,0
112,-0.8598958,51.1524029,0
113,-0.8598835,51.1523219,0
114,-0.8598712,51.1522408,0
115,-0.8598731,51.1521599,0
116,-0.8598608,51.1520788,1
117,-0.8598054,51.1520064,0
118,-0.8597643,51.1519340,0
119,-0.8597089,51.1518615,0
120,-0.8596678,51.1517892,0
121,-0.8596122,51.1517257,0
122,-0.8595711,51.1516534,0
123,-0.8595157,51.1515809,0
124,-0.8594746,51.1515086,1
125,-0.8595605,51.1515004,0
126,-0.8596465,51.1514922,0
127,-0.8597325,51.1514841,0
128,-0.8598328,51.1514761,0
129,-0.8599188,51.1514679,0
130,-0.8600048,51.1514598,0
131,-0.8600910,51.1514426,0
132,-0.8601770,51.1514345,0
