datetime	par_total	par_diffuse
30/07/2015 09:00	1673.6	545.3
30/07/2015 09:01	1632	517.1
30/07/2015 09:02	766.7	456.3
30/07/2015 09:03	519.7	470.4
30/07/2015 09:04	925.4	446.1
30/07/2015 09:05	565.8	425
30/07/2015 09:06	1518.1	420.5
30/07/2015 09:07	1591.7	471.7
30/07/2015 09:08	515.8	476.2
30/07/2015 09:09	1453.4	483.2
30/07/2015 09:10	824.3	508.8
30/07/2015 09:11	577.3	553
30/07/2015 09:12	586.2	561.3
30/07/2015 09:13	622.7	590.1
30/07/2015 09:14	544	511.4
30/07/2015 09:15	483.2	462.1
30/07/2015 09:16	436.5	432
30/07/2015 09:17	426.2	412.2
30/07/2015 09:18	465.3	416
30/07/2015 09:19	539.5	470.4
30/07/2015 09:20	606.7	535
30/07/2015 09:21	640.6	568.3
30/07/2015 09:22	639.4	590.7
30/07/2015 09:23	646.4	598.4
30/07/2015 09:24	771.2	627.8
30/07/2015 09:25	705.9	662.4
30/07/2015 09:26	705.9	668.8
30/07/2015 09:27	1651.8	659.8
30/07/2015 09:28	657.9	554.2
30/07/2015 09:29	1351.7	514.6
30/07/2015 09:30	524.8	482.6
30/07/2015 09:31	489	456.3
30/07/2015 09:32	448	416
30/07/2015 09:33	393	365.4
30/07/2015 09:34	379.5	355.8
30/07/2015 09:35	387.8	348.8
30/07/2015 09:36	417.3	382.7
30/07/2015 09:37	494.7	471.7
30/07/2015 09:38	1451.5	573.4
30/07/2015 09:39	998.4	602.2
30/07/2015 09:40	1865	638.1
30/07/2015 09:41	1743.4	677.8
30/07/2015 09:42	657.9	606.1
30/07/2015 09:43	1834.2	626.6
30/07/2015 09:44	971.5	565.8
30/07/2015 09:45	501.1	487.7
30/07/2015 09:46	499.8	487.7
30/07/2015 09:47	510.1	481.3
30/07/2015 09:48	506.9	471.7
30/07/2015 09:49	501.1	471.7
30/07/2015 09:50	494.7	474.9
30/07/2015 09:51	512.6	479.4
30/07/2015 09:52	554.9	532.5
30/07/2015 09:53	646.4	606.1
30/07/2015 09:54	733.4	664.3
30/07/2015 09:55	801.3	738.6
30/07/2015 09:56	901.1	809
30/07/2015 09:57	1732.5	858.9
30/07/2015 09:58	1312.6	830.7
30/07/2015 09:59	1239.7	826.9
30/07/2015 10:00	792.3	754.6
30/07/2015 10:01	701.4	664.3
30/07/2015 10:02	585	563.2
30/07/2015 10:03	508.2	494.1
30/07/2015 10:04	428.2	423.7
30/07/2015 10:05	374.4	368.6
30/07/2015 10:06	359.7	347.5
30/07/2015 10:07	426.9	345
30/07/2015 10:08	1670.4	361.6
30/07/2015 10:09	1688.3	346.2
30/07/2015 10:10	1409.3	341.1
30/07/2015 10:11	1660.8	368.6
30/07/2015 10:12	1712.6	415.4
30/07/2015 10:13	1778.6	456.3
30/07/2015 10:14	1847	550.4
30/07/2015 10:15	2032	689.9
30/07/2015 10:16	921	773.8
30/07/2015 10:17	1761.3	876.8
30/07/2015 10:18	1161	927.4
30/07/2015 10:19	2102.4	964.5
30/07/2015 10:20	1045.1	881.9
30/07/2015 10:21	744.3	715.5
30/07/2015 10:22	611.2	586.2
30/07/2015 10:23	583.7	561.9
30/07/2015 10:24	627.2	574.7
30/07/2015 10:25	661.1	618.9
30/07/2015 10:26	711	661.1
30/07/2015 10:27	773.1	673.9
